finding_id,priority,severity,category,route_scope,evidence_label,finding,evidence_citations,impact_inference,recommendation,acceptance_criteria,downstream_consumers,authority_status
F-011,P1,High,Rendering/SEO,/pricing,Repository evidence,A-01 observed a client-rendered pricing widget with two roots and ten cards.,[A01-AUDIT; L-PRICING],Essential commercial detail may be incomplete without scripting.,Deliver package essentials in initial HTML and enhance interactively.,"No-script or failed-script review retains package names, inclusions and CTAs.",H-01,A-01 evidence + live framing
F-012,P1,High,Forms/accessibility,/contact,Repository evidence,Contact fields lacked autocomplete and dynamic status lacked a live region.,[A01-AUDIT; W-INPUT; W-STATUS],Input assistance and submission feedback may be weaker for assistive technology.,"Add input purpose, associated errors and announced status.",Keyboard/screen-reader submission receives clear success and error feedback.,H-01,A-01 evidence + official standard
F-013,P1,High,Performance,All image-bearing routes,Repository evidence,A-01 found 206 images with no explicit intrinsic dimensions.,[A01-AUDIT; V-CLS],Layout-shift risk exists where CSS does not reserve equivalent space.,Emit width/height or aspect ratio and test responsive layout stability.,Images reserve final space before load at audited breakpoints.,H-01,A-01 evidence + official guidance
F-014,P1,Medium,Content governance,All industry routes,Verified observation,Industry pages follow nearly identical section sequences and proof modules.,[L-DENTISTS; L-ECOMMERCE; L-ESTATE; L-FITNESS; L-GYMS; L-HOSPITALITY; L-PHYSIO; L-SALONS; L-TRADES],Consistency helps navigation but can make specialisation feel templated.,"Keep shared structure but add genuine workflow, systems, risk and evidence differences.","Each industry page has unique workflow map, qualification criteria and proof.",C-01,Current live observation
F-015,P1,Medium,Internal linking,Low-inlink blog routes,Repository evidence,A-01 recorded several retained articles with only two internal links.,[A01-AUDIT; A01-ROUTES; G-LINKS],Authority distribution and discoverability are uneven.,Add contextual links from relevant hubs and established articles.,Every retained article meets an approved contextual inlink minimum and cluster ownership.,"C-01,H-01",A-01 evidence + official guidance
F-016,P2,Medium,Blog UX,/blog,Verified observation,The blog hub is a long archive with repetitive card summaries and weak buying-stage filtering.,[L-BLOG],Visitors may struggle to identify the most relevant next article.,"Add problem clusters, buying-stage labels and a small start-here set.","Users can navigate by industry, problem and stage before the full archive.",C-01,Current live observation
F-017,P2,Medium,Conversion,Site-wide high-intent routes,Verified observation,Booking is the dominant CTA; the main lower-commitment alternatives are blog or contact.,[L-HOME; L-SERVICES; L-PRICING; L-BOOK; L-CONTACT],Interested visitors without call readiness lack a productised intermediate step.,Add one useful self-assessment or scope brief.,"Lead capture records source, consent and next-step intent without forcing a call.","C-01,H-01",Current live observation
F-018,P2,Medium,Schema,49 structured pages + privacy,Repository evidence,A-01 found structured breadcrumbs on more pages than visible breadcrumbs.,[A01-AUDIT; G-SCHEMA],Structured hierarchy may not consistently match user-visible content.,Generate visible and structured breadcrumbs from one route model.,Structured data validates and matches visible hierarchy on every eligible page.,H-01,A-01 evidence + official guidance
F-019,P2,Medium,Sitemap,All canonicals,Repository evidence,A-01 found correct URL membership but stale committed lastmod values and live/build drift.,[A01-AUDIT; A01-DIFF; G-SITEMAP],Generated SEO artefacts may drift from source control.,Generate from the route source of truth with meaningful modification dates.,Sitemap equals approved canonicals and passes terminal/indexable checks.,H-01,A-01 evidence + official guidance
F-020,P2,Medium,Third parties,"Analytics, booking, map, monitoring, pricing",Repository evidence,A-01 recorded multiple third-party/runtime integrations and duplicate monitoring on two routes.,[A01-AUDIT; A01-DIFF; V-EMBED],"Third parties add performance, privacy and resilience risk.","Define ownership, loading condition, budget and fallback for each dependency.",No duplicate ownership; each dependency has a documented failure mode and budget.,H-01,A-01 evidence + official guidance
F-021,P2,Low,Freshness,Site-wide footer,Verified observation,The footer displays 2025 on inspected pages in June 2026.,[L-HOME; L-ABOUT; L-SERVICES; L-PRICING; L-BLOG; L-BOOK; L-CONTACT],Visible staleness can weaken trust.,Generate the current year from governed content or update it editorially.,All current templates display the approved current year.,H-01,Current live observation
F-022,P2,Medium,Performance,Images/assets,Repository evidence,"A-01 found a large asset inventory, unresolved unreferenced files and image-build drift.",[A01-MANIFEST; A01-AUDIT; A01-ASSETS],Build nondeterminism and asset governance increase migration risk.,"Define canonical sources, collision-safe derivatives and owner-approved retention.",Clean builds produce deterministic outputs and no basename collisions.,H-01,A-01 repository evidence
F-023,P2,Medium,Security headers/caching,Hosting responses,Repository evidence,A-01 sampled revalidation-heavy caching and did not observe several explicit defence-in-depth headers.,[A01-AUDIT; A01-DIFF],Repeat-visit efficiency and security hardening may be suboptimal; sample limits apply.,Set tested cache classes and a compatible security-header policy.,"Header tests pass for HTML, fingerprinted assets, embeds and functions.",H-01,A-01 repository evidence
F-024,Retain,Positive,Booking,/book,Verified observation,"The booking page explains the call, reduces pressure and provides contact fallback.",[L-BOOK],Clear expectation setting supports conversion and resilience.,Preserve this proposition and reuse its reassurance near high-intent CTAs.,Regression review confirms wording and fallback remain available.,"C-01,H-01",Current live observation
