current_route,proposed_route,recommended_action,timing,reason,evidence_basis,risk,redirect_code,canonical_action,internal_link_action,approval_gate
/services/fitness-coaches,/industries/fitness-coaches,preserve_then_migrate_one_to_one,Phase A preserve; Phase B optional move,Separate service capability from industry context while protecting current equity,A-01 route inventory; IA recommendation; Google site-move guidance,Ranking fluctuation or redirect error if moved with rebuild,301 in Phase B,Phase A: /services/fitness-coaches; Phase B: /industries/fitness-coaches,Phase A use current; Phase B update all to proposed,"Search Console, analytics, backlink, crawl and owner approval"
/blog/ai-appointment-reminders-uk-2026,/blog/ai-appointment-reminders-uk-2026,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-automation-failures-uk-smes-2026,/blog/ai-automation-failures-uk-smes-2026,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-automation-uk-gdpr-2026-sme-guide,/blog/ai-automation-uk-gdpr-2026-sme-guide,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-automations-physio-chiro-clinics-uk,/blog/ai-automations-physio-chiro-clinics-uk,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-booking-automation-uk-hospitality-2026,/blog/ai-booking-automation-uk-hospitality-2026,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-call-answering-trades-uk,/blog/ai-call-answering-trades-uk,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-document-automation-uk-smes-2026,/blog/ai-document-automation-uk-smes-2026,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-etas-smart-scheduling-uk-trades-2026,/blog/ai-etas-smart-scheduling-uk-trades-2026,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-guest-concierge-hotels-bbs-uk,/blog/ai-guest-concierge-hotels-bbs-uk,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-lead-capture-trades-uk-2026,/blog/ai-lead-capture-uk-trades-2026,consolidation_candidate_preserve_pending_data,Post-rebuild editorial wave,Potential search-intent overlap; current route also had redirect-loop history,A-01 duplicate review and live/repo reconciliation,Loss of traffic or links if wrong target chosen,301 only after approval,Keep self-canonical until decision,Fix any self-redirect immediately; do not chain,"Fresh crawl plus Search Console, backlinks and content merge plan"
/blog/ai-lead-capture-uk-trades-2026,/blog/ai-lead-capture-uk-trades-2026,candidate_primary_preserve,Phase A,"Potential primary for consolidated lead-capture topic, subject to performance evidence",A-01 duplicate review,Cannibalisation if duplicate remains undifferentiated,,self-canonical,Strengthen links from trades industry and automation service,Search Console comparison
/blog/ai-lead-qualification-estate-agents-2026,/blog/ai-lead-qualification-estate-agents-2026,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-lead-scoring-fitness-coaches-uk,/blog/ai-lead-scoring-fitness-coaches-uk,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-missed-call-recovery-dentists-uk,/blog/ai-missed-call-recovery-dentists-uk,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-no-show-reduction-uk-salons-barbers,/blog/ai-no-show-reduction-uk-salons-barbers,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-quote-follow-up-trades,/blog/quote-follow-up-automation-uk-trades-2026,consolidation_candidate_preserve_pending_data,Post-rebuild editorial wave,Three pages may compete for quote follow-up intent,A-01 duplicate review,Incorrect consolidation could lose distinct intent or links,301 only for approved merged pages,Self-canonical until decision,Differentiate or merge; update all related links,"Query, backlink, conversion and content-gap review"
/blog/ai-rebooking-journeys-salons-uk,/blog/ai-rebooking-journeys-salons-uk,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-receptionist-small-business-2026,/blog/ai-receptionist-small-business-2026,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-receptionist-uk-costs-roi-2026,/blog/ai-receptionist-uk-costs-roi-2026,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-returns-triage-ecommerce-uk,/blog/ai-returns-triage-ecommerce-uk,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-viewing-feedback-estate-agents-uk,/blog/ai-viewing-feedback-estate-agents-uk,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-voice-agents-uk-smes-2026,/blog/ai-voice-agents-uk-smes-2026,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-website-tools-uk-small-businesses-2026,/blog/ai-website-tools-uk-small-businesses-2026,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/ai-win-back-journeys-gyms-uk,/blog/ai-win-back-journeys-gyms-uk,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/clinic-rebooking-physio-chiro-uk,/blog/clinic-rebooking-physio-chiro-uk,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/dental-intake-e-consent-automation-uk,/blog/dental-intake-e-consent-automation-uk,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/dental-recall-automation-uk-2026,/blog/dental-recall-automation-uk-2026,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/dm-to-client-automation-uk-fitness-coaches-2026,/blog/dm-to-client-automation-uk-fitness-coaches-2026,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/estate-agent-viewing-confirmations-uk,/blog/estate-agent-viewing-confirmations-uk,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/gym-booking-automation-uk-gyms-studios-2026,/blog/gym-booking-automation-uk-gyms-studios-2026,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/post-purchase-automation-uk-ecommerce-repeat-customers,/blog/post-purchase-automation-uk-ecommerce-repeat-customers,preserve_and_review_claims,Phase A,Established article canonical; no duplicate decision supported,A-01 route inventory,Unsupported facts may remain if copied unchanged,,self-canonical,"Link to one service, one industry and /book where relevant",Source and claim review
/blog/quote-chase-automation-uk-trades-accepted-jobs-2026,/blog/quote-follow-up-automation-uk-trades-2026,consolidation_candidate_preserve_pending_data,Post-rebuild editorial wave,Three pages may compete for quote follow-up intent,A-01 duplicate review,Incorrect consolidation could lose distinct intent or links,301 only for approved merged pages,Self-canonical until decision,Differentiate or merge; update all related links,"Query, backlink, conversion and content-gap review"
/blog/quote-follow-up-automation-uk-trades-2026,/blog/quote-follow-up-automation-uk-trades-2026,candidate_primary_preserve,Post-rebuild editorial wave,Three pages may compete for quote follow-up intent,A-01 duplicate review,Incorrect consolidation could lose distinct intent or links,,Self-canonical until decision,Differentiate or merge; update all related links,"Query, backlink, conversion and content-gap review"
,/services/web-design-development,create_new_service_route,Phase A,Capability-led service architecture,Required service family and IA recommendation,Thin page if copied from generic source,,self-canonical,"Add from services hub, relevant industries and articles",Copy and capability approval
,/services/app-development,create_new_service_route,Phase A,Capability-led service architecture,Required service family and IA recommendation,Thin page if copied from generic source,,self-canonical,"Add from services hub, relevant industries and articles",Copy and capability approval
,/services/ai-voice-agents,create_new_service_route,Phase A,Capability-led service architecture,Required service family and IA recommendation,Thin page if copied from generic source,,self-canonical,"Add from services hub, relevant industries and articles",Copy and capability approval
,/services/ai-receptionists,create_new_service_route,Phase A,Capability-led service architecture,Required service family and IA recommendation,Thin page if copied from generic source,,self-canonical,"Add from services hub, relevant industries and articles",Copy and capability approval
,/services/content-creation,create_new_service_route,Phase A,Capability-led service architecture,Required service family and IA recommendation,Thin page if copied from generic source,,self-canonical,"Add from services hub, relevant industries and articles",Copy and capability approval
,/services/ai-automation,create_new_service_route,Phase A,Capability-led service architecture,Required service family and IA recommendation,Thin page if copied from generic source,,self-canonical,"Add from services hub, relevant industries and articles",Copy and capability approval
,/industries,create_new_hub,Phase A,Separate industry navigation from services,IA recommendation,Hub may duplicate services if poorly differentiated,,self-canonical,Add to primary navigation,Route and copy approval
,/how-we-work,create_new_core_route,Phase A,"Explain process, qualification and safeguards",A-02 trust and objection-handling findings,Can become generic without operational detail,,self-canonical,Add to primary navigation and service pages,Owner/process approval
