"route_key","record_type","source_path","target_path","status","force","definition_count","canonical_file","canonical_url","in_sitemap","live_status","live_location","chain_result","disposition","evidence_basis","notes"
"canonical:/services/physios-chiropractors","canonical","/services/physios-chiropractors","/services/physios-chiropractors","200","","1","services/physios-chiropractors.html","https://silverstone-ai.com/services/physios-chiropractors","yes","200","https://silverstone-ai.com/services/physios-chiropractors","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/services/salons-barbers","canonical","/services/salons-barbers","/services/salons-barbers","200","","1","services/salons-barbers.html","https://silverstone-ai.com/services/salons-barbers","yes","200","https://silverstone-ai.com/services/salons-barbers","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/services/trades","canonical","/services/trades","/services/trades","200","","1","services/trades.html","https://silverstone-ai.com/services/trades","yes","200","https://silverstone-ai.com/services/trades","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-appointment-reminders-uk-2026","canonical","/blog/ai-appointment-reminders-uk-2026","/blog/ai-appointment-reminders-uk-2026","200","","1","blog/ai-appointment-reminders-uk-2026.html","https://silverstone-ai.com/blog/ai-appointment-reminders-uk-2026","yes","200","https://silverstone-ai.com/blog/ai-appointment-reminders-uk-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-automation-failures-uk-smes-2026","canonical","/blog/ai-automation-failures-uk-smes-2026","/blog/ai-automation-failures-uk-smes-2026","200","","1","blog/ai-automation-failures-uk-smes-2026.html","https://silverstone-ai.com/blog/ai-automation-failures-uk-smes-2026","yes","200","https://silverstone-ai.com/blog/ai-automation-failures-uk-smes-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-automation-uk-gdpr-2026-sme-guide","canonical","/blog/ai-automation-uk-gdpr-2026-sme-guide","/blog/ai-automation-uk-gdpr-2026-sme-guide","200","","1","blog/ai-automation-uk-gdpr-2026-sme-guide.html","https://silverstone-ai.com/blog/ai-automation-uk-gdpr-2026-sme-guide","yes","200","https://silverstone-ai.com/blog/ai-automation-uk-gdpr-2026-sme-guide","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-automations-physio-chiro-clinics-uk","canonical","/blog/ai-automations-physio-chiro-clinics-uk","/blog/ai-automations-physio-chiro-clinics-uk","200","","1","blog/ai-automations-physio-chiro-clinics-uk.html","https://silverstone-ai.com/blog/ai-automations-physio-chiro-clinics-uk","yes","200","https://silverstone-ai.com/blog/ai-automations-physio-chiro-clinics-uk","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-booking-automation-uk-hospitality-2026","canonical","/blog/ai-booking-automation-uk-hospitality-2026","/blog/ai-booking-automation-uk-hospitality-2026","200","","1","blog/ai-booking-automation-uk-hospitality-2026.html","https://silverstone-ai.com/blog/ai-booking-automation-uk-hospitality-2026","yes","200","https://silverstone-ai.com/blog/ai-booking-automation-uk-hospitality-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-call-answering-trades-uk","canonical","/blog/ai-call-answering-trades-uk","/blog/ai-call-answering-trades-uk","200","","1","blog/ai-call-answering-trades-uk.html","https://silverstone-ai.com/blog/ai-call-answering-trades-uk","yes","200","https://silverstone-ai.com/blog/ai-call-answering-trades-uk","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-document-automation-uk-smes-2026","canonical","/blog/ai-document-automation-uk-smes-2026","/blog/ai-document-automation-uk-smes-2026","200","","1","blog/ai-document-automation-uk-smes-2026.html","https://silverstone-ai.com/blog/ai-document-automation-uk-smes-2026","yes","200","https://silverstone-ai.com/blog/ai-document-automation-uk-smes-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-etas-smart-scheduling-uk-trades-2026","canonical","/blog/ai-etas-smart-scheduling-uk-trades-2026","/blog/ai-etas-smart-scheduling-uk-trades-2026","200","","1","blog/ai-etas-smart-scheduling-uk-trades-2026.html","https://silverstone-ai.com/blog/ai-etas-smart-scheduling-uk-trades-2026","yes","200","https://silverstone-ai.com/blog/ai-etas-smart-scheduling-uk-trades-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-guest-concierge-hotels-bbs-uk","canonical","/blog/ai-guest-concierge-hotels-bbs-uk","/blog/ai-guest-concierge-hotels-bbs-uk","200","","1","blog/ai-guest-concierge-hotels-bbs-uk.html","https://silverstone-ai.com/blog/ai-guest-concierge-hotels-bbs-uk","yes","200","https://silverstone-ai.com/blog/ai-guest-concierge-hotels-bbs-uk","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-lead-capture-trades-uk-2026","canonical","/blog/ai-lead-capture-trades-uk-2026","/blog/ai-lead-capture-trades-uk-2026","200","","1","blog/ai-lead-capture-trades-uk-2026.html","https://silverstone-ai.com/blog/ai-lead-capture-trades-uk-2026","yes","redirect_loop","","loop","unresolved","repository evidence + live HTTP","forced self-redirect prevents canonical from resolving"
"canonical:/blog/ai-lead-capture-uk-trades-2026","canonical","/blog/ai-lead-capture-uk-trades-2026","/blog/ai-lead-capture-uk-trades-2026","200","","1","blog/ai-lead-capture-uk-trades-2026.html","https://silverstone-ai.com/blog/ai-lead-capture-uk-trades-2026","yes","200","https://silverstone-ai.com/blog/ai-lead-capture-uk-trades-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-lead-qualification-estate-agents-2026","canonical","/blog/ai-lead-qualification-estate-agents-2026","/blog/ai-lead-qualification-estate-agents-2026","200","","1","blog/ai-lead-qualification-estate-agents-2026.html","https://silverstone-ai.com/blog/ai-lead-qualification-estate-agents-2026","yes","200","https://silverstone-ai.com/blog/ai-lead-qualification-estate-agents-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-lead-scoring-fitness-coaches-uk","canonical","/blog/ai-lead-scoring-fitness-coaches-uk","/blog/ai-lead-scoring-fitness-coaches-uk","200","","1","blog/ai-lead-scoring-fitness-coaches-uk.html","https://silverstone-ai.com/blog/ai-lead-scoring-fitness-coaches-uk","yes","200","https://silverstone-ai.com/blog/ai-lead-scoring-fitness-coaches-uk","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-missed-call-recovery-dentists-uk","canonical","/blog/ai-missed-call-recovery-dentists-uk","/blog/ai-missed-call-recovery-dentists-uk","200","","1","blog/ai-missed-call-recovery-dentists-uk.html","https://silverstone-ai.com/blog/ai-missed-call-recovery-dentists-uk","yes","200","https://silverstone-ai.com/blog/ai-missed-call-recovery-dentists-uk","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-no-show-reduction-uk-salons-barbers","canonical","/blog/ai-no-show-reduction-uk-salons-barbers","/blog/ai-no-show-reduction-uk-salons-barbers","200","","1","blog/ai-no-show-reduction-uk-salons-barbers.html","https://silverstone-ai.com/blog/ai-no-show-reduction-uk-salons-barbers","yes","200","https://silverstone-ai.com/blog/ai-no-show-reduction-uk-salons-barbers","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-quote-follow-up-trades","canonical","/blog/ai-quote-follow-up-trades","/blog/ai-quote-follow-up-trades","200","","1","blog/ai-quote-follow-up-trades.html","https://silverstone-ai.com/blog/ai-quote-follow-up-trades","yes","200","https://silverstone-ai.com/blog/ai-quote-follow-up-trades","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-rebooking-journeys-salons-uk","canonical","/blog/ai-rebooking-journeys-salons-uk","/blog/ai-rebooking-journeys-salons-uk","200","","1","blog/ai-rebooking-journeys-salons-uk.html","https://silverstone-ai.com/blog/ai-rebooking-journeys-salons-uk","yes","200","https://silverstone-ai.com/blog/ai-rebooking-journeys-salons-uk","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-receptionist-small-business-2026","canonical","/blog/ai-receptionist-small-business-2026","/blog/ai-receptionist-small-business-2026","200","","1","blog/ai-receptionist-small-business-2026.html","https://silverstone-ai.com/blog/ai-receptionist-small-business-2026","yes","200","https://silverstone-ai.com/blog/ai-receptionist-small-business-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-receptionist-uk-costs-roi-2026","canonical","/blog/ai-receptionist-uk-costs-roi-2026","/blog/ai-receptionist-uk-costs-roi-2026","200","","1","blog/ai-receptionist-uk-costs-roi-2026.html","https://silverstone-ai.com/blog/ai-receptionist-uk-costs-roi-2026","yes","200","https://silverstone-ai.com/blog/ai-receptionist-uk-costs-roi-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-returns-triage-ecommerce-uk","canonical","/blog/ai-returns-triage-ecommerce-uk","/blog/ai-returns-triage-ecommerce-uk","200","","1","blog/ai-returns-triage-ecommerce-uk.html","https://silverstone-ai.com/blog/ai-returns-triage-ecommerce-uk","yes","200","https://silverstone-ai.com/blog/ai-returns-triage-ecommerce-uk","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-viewing-feedback-estate-agents-uk","canonical","/blog/ai-viewing-feedback-estate-agents-uk","/blog/ai-viewing-feedback-estate-agents-uk","200","","1","blog/ai-viewing-feedback-estate-agents-uk.html","https://silverstone-ai.com/blog/ai-viewing-feedback-estate-agents-uk","yes","200","https://silverstone-ai.com/blog/ai-viewing-feedback-estate-agents-uk","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-voice-agents-uk-smes-2026","canonical","/blog/ai-voice-agents-uk-smes-2026","/blog/ai-voice-agents-uk-smes-2026","200","","1","blog/ai-voice-agents-uk-smes-2026.html","https://silverstone-ai.com/blog/ai-voice-agents-uk-smes-2026","yes","200","https://silverstone-ai.com/blog/ai-voice-agents-uk-smes-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-website-tools-uk-small-businesses-2026","canonical","/blog/ai-website-tools-uk-small-businesses-2026","/blog/ai-website-tools-uk-small-businesses-2026","200","","1","blog/ai-website-tools-uk-small-businesses-2026.html","https://silverstone-ai.com/blog/ai-website-tools-uk-small-businesses-2026","yes","200","https://silverstone-ai.com/blog/ai-website-tools-uk-small-businesses-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/ai-win-back-journeys-gyms-uk","canonical","/blog/ai-win-back-journeys-gyms-uk","/blog/ai-win-back-journeys-gyms-uk","200","","1","blog/ai-win-back-journeys-gyms-uk.html","https://silverstone-ai.com/blog/ai-win-back-journeys-gyms-uk","yes","200","https://silverstone-ai.com/blog/ai-win-back-journeys-gyms-uk","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/clinic-rebooking-physio-chiro-uk","canonical","/blog/clinic-rebooking-physio-chiro-uk","/blog/clinic-rebooking-physio-chiro-uk","200","","1","blog/clinic-rebooking-physio-chiro-uk.html","https://silverstone-ai.com/blog/clinic-rebooking-physio-chiro-uk","yes","200","https://silverstone-ai.com/blog/clinic-rebooking-physio-chiro-uk","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/dental-intake-e-consent-automation-uk","canonical","/blog/dental-intake-e-consent-automation-uk","/blog/dental-intake-e-consent-automation-uk","200","","1","blog/dental-intake-e-consent-automation-uk.html","https://silverstone-ai.com/blog/dental-intake-e-consent-automation-uk","yes","200","https://silverstone-ai.com/blog/dental-intake-e-consent-automation-uk","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/dental-recall-automation-uk-2026","canonical","/blog/dental-recall-automation-uk-2026","/blog/dental-recall-automation-uk-2026","200","","1","blog/dental-recall-automation-uk-2026.html","https://silverstone-ai.com/blog/dental-recall-automation-uk-2026","yes","200","https://silverstone-ai.com/blog/dental-recall-automation-uk-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/dm-to-client-automation-uk-fitness-coaches-2026","canonical","/blog/dm-to-client-automation-uk-fitness-coaches-2026","/blog/dm-to-client-automation-uk-fitness-coaches-2026","200","","1","blog/dm-to-client-automation-uk-fitness-coaches-2026.html","https://silverstone-ai.com/blog/dm-to-client-automation-uk-fitness-coaches-2026","yes","200","https://silverstone-ai.com/blog/dm-to-client-automation-uk-fitness-coaches-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/estate-agent-viewing-confirmations-uk","canonical","/blog/estate-agent-viewing-confirmations-uk","/blog/estate-agent-viewing-confirmations-uk","200","","1","blog/estate-agent-viewing-confirmations-uk.html","https://silverstone-ai.com/blog/estate-agent-viewing-confirmations-uk","yes","200","https://silverstone-ai.com/blog/estate-agent-viewing-confirmations-uk","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/gym-booking-automation-uk-gyms-studios-2026","canonical","/blog/gym-booking-automation-uk-gyms-studios-2026","/blog/gym-booking-automation-uk-gyms-studios-2026","200","","1","blog/gym-booking-automation-uk-gyms-studios-2026.html","https://silverstone-ai.com/blog/gym-booking-automation-uk-gyms-studios-2026","yes","200","https://silverstone-ai.com/blog/gym-booking-automation-uk-gyms-studios-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/post-purchase-automation-uk-ecommerce-repeat-customers","canonical","/blog/post-purchase-automation-uk-ecommerce-repeat-customers","/blog/post-purchase-automation-uk-ecommerce-repeat-customers","200","","1","blog/post-purchase-automation-uk-ecommerce-repeat-customers.html","https://silverstone-ai.com/blog/post-purchase-automation-uk-ecommerce-repeat-customers","yes","200","https://silverstone-ai.com/blog/post-purchase-automation-uk-ecommerce-repeat-customers","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/quote-chase-automation-uk-trades-accepted-jobs-2026","canonical","/blog/quote-chase-automation-uk-trades-accepted-jobs-2026","/blog/quote-chase-automation-uk-trades-accepted-jobs-2026","200","","1","blog/quote-chase-automation-uk-trades-accepted-jobs-2026.html","https://silverstone-ai.com/blog/quote-chase-automation-uk-trades-accepted-jobs-2026","yes","200","https://silverstone-ai.com/blog/quote-chase-automation-uk-trades-accepted-jobs-2026","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog/quote-follow-up-automation-uk-trades-2026","canonical","/blog/quote-follow-up-automation-uk-trades-2026","/blog/quote-follow-up-automation-uk-trades-2026","200","","1","blog/quote-follow-up-automation-uk-trades-2026.html","https://silverstone-ai.com/blog/quote-follow-up-automation-uk-trades-2026","yes","200","https://silverstone-ai.com/blog/quote-follow-up-automation-uk-trades-2026","canonical 200","retain","repository evidence + live HTTP",""
"redirect:/index.html","redirect","/index.html","/","301","true","1","index.html","https://silverstone-ai.com","no","301","/","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/about.html","redirect","/about.html","/about","301","true","1","about.html","https://silverstone-ai.com/about","no","301","/about","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/services.html","redirect","/services.html","/services","301","true","1","services.html","https://silverstone-ai.com/services","no","301","/services","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/pricing.html","redirect","/pricing.html","/pricing","301","true","1","pricing.html","https://silverstone-ai.com/pricing","no","301","/pricing","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/blog.html","redirect","/blog.html","/blog","301","true","1","blog.html","https://silverstone-ai.com/blog","no","301","/blog","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/book.html","redirect","/book.html","/book","301","true","1","book.html","https://silverstone-ai.com/book","no","301","/book","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/contact.html","redirect","/contact.html","/contact","301","true","1","contact.html","https://silverstone-ai.com/contact","no","301","/contact","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/privacy-policy.html","redirect","/privacy-policy.html","/privacy-policy","301","true","1","privacy-policy.html","https://silverstone-ai.com/privacy-policy","no","301","/privacy-policy","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/dentists.html","redirect","/niches/dentists.html","/services/dentists","301","true","1","services/dentists.html","https://silverstone-ai.com/services/dentists","no","301","/services/dentists","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/ecommerce.html","redirect","/niches/ecommerce.html","/services/ecommerce","301","true","1","services/ecommerce.html","https://silverstone-ai.com/services/ecommerce","no","301","/services/ecommerce","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/estate-agents.html","redirect","/niches/estate-agents.html","/services/estate-agents","301","true","1","services/estate-agents.html","https://silverstone-ai.com/services/estate-agents","no","301","/services/estate-agents","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/fitness-coaches.html","redirect","/niches/fitness-coaches.html","/services/fitness-coaches","301","true","1","services/fitness-coaches.html","https://silverstone-ai.com/services/fitness-coaches","no","301","/services/fitness-coaches","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/gyms-fitness-studios.html","redirect","/niches/gyms-fitness-studios.html","/services/gyms-fitness-studios","301","true","1","services/gyms-fitness-studios.html","https://silverstone-ai.com/services/gyms-fitness-studios","no","301","/services/gyms-fitness-studios","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/hospitality.html","redirect","/niches/hospitality.html","/services/hospitality","301","true","1","services/hospitality.html","https://silverstone-ai.com/services/hospitality","no","301","/services/hospitality","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/physios-chiropractors.html","redirect","/niches/physios-chiropractors.html","/services/physios-chiropractors","301","true","1","services/physios-chiropractors.html","https://silverstone-ai.com/services/physios-chiropractors","no","301","/services/physios-chiropractors","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/salons-barbers.html","redirect","/niches/salons-barbers.html","/services/salons-barbers","301","true","1","services/salons-barbers.html","https://silverstone-ai.com/services/salons-barbers","no","301","/services/salons-barbers","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/trades-virtual-office.html","redirect","/niches/trades-virtual-office.html","/services/trades","301","true","1","services/trades.html","https://silverstone-ai.com/services/trades","no","301","/services/trades","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/dentists","redirect","/niches/dentists","/services/dentists","301","true","1","services/dentists.html","https://silverstone-ai.com/services/dentists","no","301","/services/dentists","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/ecommerce","redirect","/niches/ecommerce","/services/ecommerce","301","true","1","services/ecommerce.html","https://silverstone-ai.com/services/ecommerce","no","301","/services/ecommerce","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/estate-agents","redirect","/niches/estate-agents","/services/estate-agents","301","true","1","services/estate-agents.html","https://silverstone-ai.com/services/estate-agents","no","301","/services/estate-agents","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/fitness-coaches","redirect","/niches/fitness-coaches","/services/fitness-coaches","301","true","1","services/fitness-coaches.html","https://silverstone-ai.com/services/fitness-coaches","no","301","/services/fitness-coaches","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/gyms-fitness-studios","redirect","/niches/gyms-fitness-studios","/services/gyms-fitness-studios","301","true","1","services/gyms-fitness-studios.html","https://silverstone-ai.com/services/gyms-fitness-studios","no","301","/services/gyms-fitness-studios","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/hospitality","redirect","/niches/hospitality","/services/hospitality","301","true","1","services/hospitality.html","https://silverstone-ai.com/services/hospitality","no","301","/services/hospitality","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/physios-chiropractors","redirect","/niches/physios-chiropractors","/services/physios-chiropractors","301","true","1","services/physios-chiropractors.html","https://silverstone-ai.com/services/physios-chiropractors","no","301","/services/physios-chiropractors","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/salons-barbers","redirect","/niches/salons-barbers","/services/salons-barbers","301","true","1","services/salons-barbers.html","https://silverstone-ai.com/services/salons-barbers","no","301","/services/salons-barbers","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/niches/trades-virtual-office","redirect","/niches/trades-virtual-office","/services/trades","301","true","1","services/trades.html","https://silverstone-ai.com/services/trades","no","301","/services/trades","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/services/dentists.html","redirect","/services/dentists.html","/services/dentists","301","true","1","services/dentists.html","https://silverstone-ai.com/services/dentists","no","301","/services/dentists","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/services/ecommerce.html","redirect","/services/ecommerce.html","/services/ecommerce","301","true","1","services/ecommerce.html","https://silverstone-ai.com/services/ecommerce","no","301","/services/ecommerce","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/services/estate-agents.html","redirect","/services/estate-agents.html","/services/estate-agents","301","true","1","services/estate-agents.html","https://silverstone-ai.com/services/estate-agents","no","301","/services/estate-agents","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/services/fitness-coaches.html","redirect","/services/fitness-coaches.html","/services/fitness-coaches","301","true","1","services/fitness-coaches.html","https://silverstone-ai.com/services/fitness-coaches","no","301","/services/fitness-coaches","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/services/gyms-fitness-studios.html","redirect","/services/gyms-fitness-studios.html","/services/gyms-fitness-studios","301","true","1","services/gyms-fitness-studios.html","https://silverstone-ai.com/services/gyms-fitness-studios","no","301","/services/gyms-fitness-studios","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/services/hospitality.html","redirect","/services/hospitality.html","/services/hospitality","301","true","1","services/hospitality.html","https://silverstone-ai.com/services/hospitality","no","301","/services/hospitality","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/services/physios-chiropractors.html","redirect","/services/physios-chiropractors.html","/services/physios-chiropractors","301","true","1","services/physios-chiropractors.html","https://silverstone-ai.com/services/physios-chiropractors","no","301","/services/physios-chiropractors","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/services/salons-barbers.html","redirect","/services/salons-barbers.html","/services/salons-barbers","301","true","1","services/salons-barbers.html","https://silverstone-ai.com/services/salons-barbers","no","301","/services/salons-barbers","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/services/trades-virtual-office.html","redirect","/services/trades-virtual-office.html","/services/trades","301","true","1","services/trades.html","https://silverstone-ai.com/services/trades","no","301","/services/trades","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/services/trades-virtual-office","redirect","/services/trades-virtual-office","/services/trades","301","true","1","services/trades.html","https://silverstone-ai.com/services/trades","no","301","/services/trades","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/services/trades.html","redirect","/services/trades.html","/services/trades","301","true","1","services/trades.html","https://silverstone-ai.com/services/trades","no","301","/services/trades","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/blog/ai-appointment-reminders-uk-2026.html","redirect","/blog/ai-appointment-reminders-uk-2026.html","/blog/ai-appointment-reminders-uk-2026","301","true","1","blog/ai-appointment-reminders-uk-2026.html","https://silverstone-ai.com/blog/ai-appointment-reminders-uk-2026","no","301","/blog/ai-appointment-reminders-uk-2026","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/blog/ai-automation-failures-uk-smes-2026.html","redirect","/blog/ai-automation-failures-uk-smes-2026.html","/blog/ai-automation-failures-uk-smes-2026","301","true","1","blog/ai-automation-failures-uk-smes-2026.html","https://silverstone-ai.com/blog/ai-automation-failures-uk-smes-2026","no","301","/blog/ai-automation-failures-uk-smes-2026","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/blog/ai-automation-uk-gdpr-2026-sme-guide.html","redirect","/blog/ai-automation-uk-gdpr-2026-sme-guide.html","/blog/ai-automation-uk-gdpr-2026-sme-guide","301","true","1","blog/ai-automation-uk-gdpr-2026-sme-guide.html","https://silverstone-ai.com/blog/ai-automation-uk-gdpr-2026-sme-guide","no","301","/blog/ai-automation-uk-gdpr-2026-sme-guide","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/blog/ai-booking-automation-uk-hospitality-2026.html","redirect","/blog/ai-booking-automation-uk-hospitality-2026.html","/blog/ai-booking-automation-uk-hospitality-2026","301","true","1","blog/ai-booking-automation-uk-hospitality-2026.html","https://silverstone-ai.com/blog/ai-booking-automation-uk-hospitality-2026","no","301","/blog/ai-booking-automation-uk-hospitality-2026","redirect target not recursively followed","retain","repository evidence + live HTTP",""
"redirect:/blog/ai-document-automation-uk-smes-2026.html","redirect","/blog/ai-document-automation-uk-smes-2026.html","/blog/ai-document-automation-uk-smes-2026","301","true","1","blog/ai-document-automation-uk-smes-2026.html","https://silverstone-ai.com/blog/ai-document-automation-uk-smes-2026","no","301","/blog/ai-document-automation-uk-smes-2026","redirect target not recursively followed","retain","repository evidence + live HTTP",""
