finding,source_skill,page_or_file,evidence,confidence,severity,recommended_fix,duplicated_by_other_skill,supported_by_primary_docs,could_affect_visuals,final_disposition
Homepage title generic 'Home | Silverstone AI',claude-seo seo-content,web/src/data/approved-routes.ts route-home,Built <title> 21 chars generic,confirmed,medium,Descriptive title,no,yes,no,FIXED (title now 'Silverstone AI | Websites Apps & AI Workflows for UK Businesses')
Article og:image relative URL,own-verification,web/src/routes/blog/article.tsx,built meta og:image='/assets/images/blog/...',confirmed,medium,Absolute URL,agentic social_meta covers,yes (OG protocol),no,FIXED (+og:image:alt +site_name +locale)
Articles missing article:published_time/modified_time + twitter title/description/image,own-verification,web/src/routes/blog/article.tsx,built head lacked tags,confirmed,low,Add OG article dates + twitter parity,agentic social_meta covers,yes,no,FIXED
Service schema areaServed claims Europe + United States with no visible support,claude-seo seo-schema,web/src/seo/schema.ts,Hardcoded 4-region array; visible copy UK-only,confirmed,medium,Narrow to United Kingdom,no,yes (schema.org accuracy; Google SD guidelines),no,FIXED (Country: United Kingdom)
Service.name != visible H1 on 7/9 industry pages (stale approved-pack h1),claude-seo seo-schema,web/src/data/approved-routes.ts,Diffed route.h1 vs built <h1> on all 9,confirmed,medium,Reconcile route.h1 with live approved hero copy,no,yes (repo contract + schema accuracy),no,FIXED (7 h1/headingPlan values reconciled)
Organization schema minimal (no logo/sameAs/address) while verified facts exist in repo,claude-seo seo-geo + seo-schema,web/src/seo/schema.ts,Legacy site's own schema had logo/sameAs/address; /contact shows address,confirmed,medium,Add logo + sameAs (Instagram/Facebook) + PostalAddress,yes (both),yes (Google Organization SD),no,FIXED (email/phone withheld - not visible on site)
BlogPosting publisher missing logo,claude-seo seo-schema,web/src/routes/templates/article-page.tsx,JSON-LD publisher had name+url only,confirmed,low,Add ImageObject logo,no,yes (Google article SD),no,FIXED (+author/publisher url normalised to canonical form)
404 shell missing title/robots meta,claude-seo seo-technical,web/build/client/404.html,Head had no title/description/robots,confirmed,low,Inject static title+noindex at copy time,no,yes,no,FIXED (generator injects into 404.html head)
www + noncanonical variant = 2 redirect hops,claude-seo seo-technical,netlify/edge-functions/reject-noncanonical-paths.ts,www deferred to hostname redirect then apex edge 301,confirmed,low,Edge resolves known variants straight to apex target,no,yes (minimise hops),no,FIXED (www known variants 301 direct to apex canonical in one hop)
No site-wide security headers,claude-seo seo-technical,netlify.toml,Only route-scoped frame-src CSP present,confirmed,low,HSTS + nosniff + Referrer-Policy (additive),no,yes (web.dev),no,FIXED (conservative subset added; XFO/Permissions-Policy deferred as functional-risk)
Client invoice PDF publicly crawlable,own-verification,web/public/invoices/,Invoice-8NIFHCDC-0179_OwnlyHousing_web.pdf in publish dir,confirmed,medium,X-Robots-Tag noindex header for /invoices/*,no,yes,no,FIXED (header added; file remains link-accessible)
410.html lang=en-GB vs site lang=en,claude-seo seo-technical,web/public/410.html,html lang mismatch,confirmed,info,Align to en,no,n/a,no,FIXED
Homepage prerenders ~83 chars; no H1/body/internal links in initial HTML,all 5 specialists + own crawl,web/src/routes/company/home-v2.tsx,body sections mount only after user Explore action,confirmed,high,Prerender body (needs UX/eng signoff - hydration + reveal-scheduler risk),yes (all),yes (Google JS SEO),YES,NOT IMPLEMENTED - documented exception + top item in visible-content-recommendations.md
Blog FAQs + researchSources authored but never rendered,claude-seo seo-geo + seo-content,web/src/data/blog-posts.ts,faqs/researchSources fields unused by article template; sanitizeHref strips external links,confirmed,medium,Render sources/FAQ blocks (visible change),yes,partially (E-E-A-T guidance),YES,NOT IMPLEMENTED - visible-content-recommendations.md
Service/industry accordion FAQ answers absent from initial HTML,claude-seo seo-geo,web/src/features/services-v2,accordion content divs ship empty (mounted on open),confirmed,medium,forceMount + hidden or CSS-hide,no,yes,YES (functional risk),NOT IMPLEMENTED - recommendation (fragile services-v2 contracts)
FAQPage JSON-LD suggested for articles,claude-seo seo-geo vs agentic-seo rule conflict,n/a,FAQ content not visible in rendered HTML; Google restricts FAQ rich results to gov/health,conflict-resolved,low,Do not add (schema must reflect visible content),yes (contradictory),yes (Google FAQ rich-result restriction),no,REJECTED - contradiction resolved against adding
llms.txt absent,both systems raise,web/build/client,No confirmed consumption by any major engine as of 2026-07,confirmed,info,Optional; no measurable benefit,yes,no primary-doc support,no,NOT IMPLEMENTED - documented decision
No structured data on non-blog pages (claim),claude-seo seo-content agent,build/client/*/index.html,REFUTED: every page has a JSON-LD @graph (agent extraction error),refuted,n/a,n/a,contradicts seo-schema agent,n/a,no,SUPPRESSED (contradiction; verified 1 JSON-LD block on all 47 pages)
No visible FAQ content anywhere (claim vs articles-have-FAQs claim),schema vs content vs geo agents,article templates,Verified: FAQ data exists but is NOT rendered anywhere,resolved,n/a,n/a,yes,n/a,no,RESOLVED (geo agent correct)
Meta descriptions 163-173 chars on 8 pages,claude-seo seo-content + seo-technical,web/src/data/approved-routes.ts,lengths measured,confirmed,info,Optional trim,yes,weak (no hard limit in Google docs),no,NOT IMPLEMENTED - approved-copy fidelity outweighs truncation cosmetics
Named human author bylines missing (E-E-A-T),claude-seo seo-content,articles,author = Organization on all 21 posts,confirmed,medium,Add real author profiles,agentic eeat framework same,yes (E-E-A-T guidance),YES,NOT IMPLEMENTED - visible-content-recommendations.md
IndexNow key file present but no submission automation,claude-seo seo-technical + seo-geo,web/public/be41def3....txt,key file deployed; no ping code,confirmed,info,Optional automation,yes,yes (IndexNow protocol),no,NOT IMPLEMENTED - task forbids IndexNow submissions; noted for owner
Orphaned sitemap builders (src/seo/sitemap.ts + scripts/migration variant),claude-seo seo-sitemap,web/src/seo/sitemap.ts,not wired into build,confirmed,info,Mark historical or remove,no,n/a,no,NOT IMPLEMENTED - out-of-scope cleanup; noted
PageSpeed/CWV field data,agentic pagespeed.py,live origin,API rate-limited without key; live deploy outdated anyway,environment-limitation,info,Re-run post-deploy,n/a,n/a,no,DEFERRED to live verification
E-commerce product SEO / hreflang / multi-location local SEO / RSS feed updates,both systems,n/a,No products; single locale en-GB; single studio; no feed exists,confirmed,n/a,n/a,yes,n/a,no,NOT_APPLICABLE
