state,viewport,route,gate,h1_before,h1_after,intro_title_tag_before,intro_title_tag_after,footer_col_tags_before,footer_col_tags_after,article_grid_tags_before,article_grid_tags_after,lvd_empty_tag_before,lvd_empty_tag_after,consent_modal_h1_before,consent_modal_h1_after,consent_role_after,consent_labelledby_after,viewport_png_sha1_before,viewport_png_sha1_after,viewport_png_identical
desktop/industry-dentists/intro,desktop,industry-dentists,intro,2,1,H1,DIV,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,0,0,-,-,836d9802d387,836d9802d387,yes
desktop/industry-dentists/body,desktop,industry-dentists,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,1,0,dialog,stcm-modal-title,06303202e339,c93378ec6276,no
mobile/home/intro,mobile,home,intro,1,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,0,0,-,-,c56fcec38bcf,6b9f274eed1b,no
mobile/home/body,mobile,home,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,1,0,dialog,stcm-modal-title,0c1157aa1c0b,0c1157aa1c0b,yes
mobile/svc-receptionists/intro,mobile,svc-receptionists,intro,2,1,H1,DIV,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,H4,H3,0,0,-,-,e8a09436949f,e8a09436949f,yes
mobile/svc-receptionists/body,mobile,svc-receptionists,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,H4,H3,1,0,dialog,stcm-modal-title,e392941fb5aa,ac53d5dfea4d,no
mobile/svc-voice/intro,mobile,svc-voice,intro,2,1,H1,DIV,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,H4,H3,0,0,-,-,f02187f56a52,f02187f56a52,yes
mobile/svc-voice/body,mobile,svc-voice,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,H4,H3,1,0,dialog,stcm-modal-title,afa42811bc48,3bfa20e41b30,no
mobile/about/intro,mobile,about,intro,2,1,H1,DIV,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,0,0,-,-,1299ea115610,1299ea115610,yes
mobile/about/body,mobile,about,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,1,0,dialog,stcm-modal-title,657946ec233b,657946ec233b,yes
mobile/blog/intro,mobile,blog,intro,2,1,H1,DIV,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,0,0,-,-,217c87a05f2f,217c87a05f2f,yes
mobile/blog/body,mobile,blog,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,1,0,dialog,stcm-modal-title,319e5aae2104,303ea10a7be7,no
mobile/article/intro,mobile,article,intro,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,H4|H4|H4|H4|H4|H4|H4,H3|H3|H3|H3|H3|H3|H3,-,-,1,0,dialog,stcm-modal-title,de79b91b9714,de79b91b9714,yes
mobile/article/body,mobile,article,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,H4|H4|H4|H4|H4|H4|H4,H3|H3|H3|H3|H3|H3|H3,-,-,1,0,dialog,stcm-modal-title,f58daa7a414e,54426eaafc32,no
mobile/book/intro,mobile,book,intro,2,1,H1,DIV,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,0,0,-,-,964e3e26b89a,964e3e26b89a,yes
mobile/book/body,mobile,book,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,1,0,dialog,stcm-modal-title,28494a1fc24b,3ad7b38d9bae,no
mobile/industry-dentists/intro,mobile,industry-dentists,intro,2,1,H1,DIV,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,0,0,-,-,4a37d2d585c3,4a37d2d585c3,yes
mobile/industry-dentists/body,mobile,industry-dentists,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,1,0,dialog,stcm-modal-title,1862e1597373,1862e1597373,yes
