card_id,path,status,root_cause_groups,themes,live_http,live_metadesc_present,live_metadesc_len,live_h1_count_raw_html,live_main_chars,live_canonical_selfref,live_robots,live_ld_types,live_title_len
51,/services/content-creation,confirmed-runtime,RC-01|RC-04|RC-07,META_DESC|HEADING_GENERIC|VALUEPROP,200,True,155,1,4200,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,52
52,/services/app-development,confirmed-runtime,RC-01|RC-04|RC-05|RC-07,META_DESC|H1_DUPLICATE|FAQ|THIN|READABILITY,200,True,167,1,4231,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,43
53,/blog/ai-receptionist-setup-guide,recommendation-only,RC-01|RC-07,META_DESC|THIN|CITATION|VALUEPROP,200,True,145,1,11032,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,49
54,/services/ai-automation,recommendation-only,RC-01|RC-07,META_DESC|CITATION|TABLE,200,True,158,1,4107,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,51
55,/services/content-creation,refuted-live,RC-01,META_DESC,200,True,155,1,4200,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,52
56,/services/app-development,obsolete-advice,RC-01|RC-05,META_DESC|FAQ,200,True,167,1,4231,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,43
57,/blog/ai-receptionist-setup-guide,recommendation-only,RC-07,TABLE,200,True,145,1,11032,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,49
58,/services/ai-automation,confirmed-runtime,RC-01|RC-04|RC-05|RC-07,META_DESC|H1_DUPLICATE|HEADING_GENERIC|FAQ|THIN|TABLE,200,True,158,1,4107,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,51
59,/services/content-creation,obsolete-advice,RC-02|RC-05|RC-07,SCHEMA|FAQ|INTERNAL_LINK,200,True,155,1,4200,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,52
60,/services/ai-consulting,recommendation-only,RC-07,CITATION|TABLE,200,True,150,1,4197,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,46
61,/blog/ai-receptionist-setup-guide,refuted-live,RC-02,SCHEMA,200,True,145,1,11032,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,49
62,/services/ai-automation,confirmed-runtime,RC-01|RC-04|RC-07,H1_DUPLICATE|THIN|READABILITY|VALUEPROP,200,True,158,1,4107,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,51
63,/industry/physios-chiropractors,obsolete-advice,RC-02|RC-05,SCHEMA|FAQ,200,True,148,1,5194,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,46
64,/services/ai-consulting,confirmed-runtime,RC-01|RC-04|RC-05,META_DESC|H1_DUPLICATE|HEADING_GENERIC|FAQ|THIN,200,True,150,1,4197,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,46
65,/industry/trades,obsolete-advice,RC-02|RC-05,SCHEMA|FAQ,200,True,157,1,5327,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,45
66,/industry/physios-chiropractors,confirmed-runtime,RC-01|RC-04|RC-07,META_DESC|H1_DUPLICATE|HEADING_GENERIC|READABILITY,200,True,148,1,5194,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,46
67,/services/ai-consulting,obsolete-advice,RC-01|RC-02|RC-05|RC-07,META_DESC|SCHEMA|FAQ|THIN|READABILITY|TABLE,200,True,150,1,4197,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,46
68,/services/ai-automation,obsolete-advice,RC-01|RC-05,META_DESC|FAQ|THIN,200,True,158,1,4107,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,51
69,/industry/trades,confirmed-3p-mutation,RC-04|RC-05|RC-06,H1_DUPLICATE|HEADING_GENERIC|FAQ|TITLE_TAG,200,True,157,1,5327,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,45
70,/services/ai-consulting,obsolete-advice,RC-01|RC-05,META_DESC|FAQ|THIN,200,True,150,1,4197,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,46
71,/industry/physios-chiropractors,obsolete-advice,RC-02|RC-05,SCHEMA|FAQ,200,True,148,1,5194,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,46
72,/industry/trades,recommendation-only,RC-01|RC-07,META_DESC|THIN|READABILITY|VALUEPROP,200,True,157,1,5327,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,45
73,/industry/fitness-coaches,obsolete-advice,RC-02|RC-05,SCHEMA|FAQ,200,True,158,1,5073,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,54
74,/industry/hospitality,obsolete-advice,RC-02|RC-05,SCHEMA|FAQ,200,True,173,1,5332,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,53
75,/industry/trades,obsolete-advice,RC-01|RC-02|RC-05,META_DESC|SCHEMA|FAQ,200,True,157,1,5327,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,45
76,/industry/fitness-coaches,confirmed-runtime,RC-04|RC-05,H1_DUPLICATE|HEADING_GENERIC|FAQ,200,True,158,1,5073,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,54
77,/industry/hospitality,confirmed-runtime,RC-01|RC-04|RC-05|RC-07,META_DESC|H1_DUPLICATE|HEADING_GENERIC|FAQ|THIN|READABILITY,200,True,173,1,5332,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,53
78,/industry/ecommerce,recommendation-only,RC-07,CITATION,200,True,163,1,5478,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,47
79,/industry/fitness-coaches,obsolete-advice,RC-01|RC-05|RC-07,META_DESC|FAQ|THIN|READABILITY|VALUEPROP,200,True,158,1,5073,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,54
80,/industry/hospitality,obsolete-advice,RC-01|RC-05|RC-07,META_DESC|FAQ|THIN|READABILITY|VALUEPROP,200,True,173,1,5332,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,53
81,/industry/ecommerce,obsolete-advice,RC-02|RC-05,SCHEMA|FAQ,200,True,163,1,5478,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,47
82,/book,confirmed-3p-mutation,RC-02|RC-05|RC-06,SCHEMA|FAQ|DATES|TITLE_TAG,200,True,107,1,2578,True,"index, follow",BreadcrumbList|ListItem|WebPage,38
83,/industry/fitness-coaches,obsolete-advice,RC-01|RC-02|RC-05,SCHEMA|FAQ|THIN,200,True,158,1,5073,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,54
84,/industry/hospitality,obsolete-advice,RC-01|RC-02|RC-05,SCHEMA|FAQ|THIN,200,True,173,1,5332,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,53
85,/industry/ecommerce,confirmed-runtime,RC-04,H1_DUPLICATE|HEADING_GENERIC,200,True,163,1,5478,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,47
86,/book,confirmed-runtime,RC-01|RC-04|RC-07,META_DESC|H1_DUPLICATE|HEADING_GENERIC|READABILITY,200,True,107,1,2578,True,"index, follow",BreadcrumbList|ListItem|WebPage,38
87,/blog,recommendation-only,RC-01|RC-07,META_DESC|THIN|INTERNAL_LINK,200,True,106,1,16244,True,"index, follow",BreadcrumbList|CollectionPage|ListItem,48
88,/blog/salon-barber-ai-guide,confirmed-runtime,RC-02|RC-04,H1_DUPLICATE|DATES,200,True,137,1,9931,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,45
89,/industry/ecommerce,recommendation-only,RC-01|RC-07,THIN|READABILITY,200,True,163,1,5478,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,47
90,/blog,confirmed-runtime,RC-01|RC-02|RC-04,META_DESC|H1_DUPLICATE|DATES,200,True,106,1,16244,True,"index, follow",BreadcrumbList|CollectionPage|ListItem,48
91,/blog/salon-barber-ai-guide,recommendation-only,RC-07,OTHER,200,True,137,1,9931,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,45
92,/book,recommendation-only,RC-01|RC-07,META_DESC|READABILITY,200,True,107,1,2578,True,"index, follow",BreadcrumbList|ListItem|WebPage,38
93,/blog,refuted-live,RC-01,META_DESC,200,True,106,1,16244,True,"index, follow",BreadcrumbList|CollectionPage|ListItem,48
94,/about,refuted-live,RC-01,THIN,200,True,144,1,2641,True,"index, follow",AboutPage|BreadcrumbList|ListItem,48
95,/blog/salon-barber-ai-guide,confirmed-3p-mutation,RC-02|RC-04|RC-06,H1_DUPLICATE|SCHEMA|DATES|TITLE_TAG,200,True,137,1,9931,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,45
96,/about,refuted-live,RC-02,SCHEMA,200,True,144,1,2641,True,"index, follow",AboutPage|BreadcrumbList|ListItem,48
97,/blog/salon-barber-ai-guide,confirmed-runtime,RC-03|RC-04|RC-07,H1_DUPLICATE|HEADING_GENERIC|READABILITY|COOKIE_H1,200,True,137,1,9931,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,45
98,/blog,recommendation-only,RC-01|RC-02|RC-07,META_DESC|SCHEMA|VALUEPROP,200,True,106,1,16244,True,"index, follow",BreadcrumbList|CollectionPage|ListItem,48
99,/book,obsolete-advice,RC-01|RC-02|RC-05,SCHEMA|FAQ|THIN,200,True,107,1,2578,True,"index, follow",BreadcrumbList|ListItem|WebPage,38
100,/about,confirmed-runtime,RC-01|RC-02|RC-04|RC-07,META_DESC|H1_DUPLICATE|HEADING_GENERIC|SCHEMA|READABILITY|VALUEPROP,200,True,144,1,2641,True,"index, follow",AboutPage|BreadcrumbList|ListItem,48
101,/blog/ai-automation-consulting-guide,confirmed-runtime,RC-01|RC-03|RC-04,META_DESC|H1_DUPLICATE|COOKIE_H1,200,True,139,1,10910,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,50
102,/how-we-work,recommendation-only,RC-01|RC-07,META_DESC|VALUEPROP,200,True,107,1,3579,True,"index, follow",BreadcrumbList|ListItem|WebPage,45
103,/blog/ai-automation-consulting-guide,obsolete-advice,RC-02|RC-05,SCHEMA|FAQ|DATES,200,True,139,1,10910,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,50
104,/how-we-work,refuted-live,RC-01|RC-02,META_DESC|SCHEMA,200,True,107,1,3579,True,"index, follow",BreadcrumbList|ListItem|WebPage,45
105,/how-we-work,confirmed-runtime,RC-01|RC-04,META_DESC|H1_DUPLICATE|HEADING_GENERIC,200,True,107,1,3579,True,"index, follow",BreadcrumbList|ListItem|WebPage,45
106,/industry/salons-barbers,recommendation-only,RC-01|RC-07,META_DESC|THIN|CITATION,200,True,164,1,5422,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,60
107,/blog/ai-automation-consulting-guide,confirmed-3p-mutation,RC-04|RC-06,H1_DUPLICATE|HEADING_GENERIC|TITLE_TAG,200,True,139,1,10910,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,50
108,/industry/salons-barbers,obsolete-advice,RC-02|RC-05,SCHEMA|FAQ,200,True,164,1,5422,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,60
109,/how-we-work,recommendation-only,RC-01|RC-07,META_DESC|THIN|VALUEPROP,200,True,107,1,3579,True,"index, follow",BreadcrumbList|ListItem|WebPage,45
110,/blog/ai-automation-consulting-guide,confirmed-runtime,RC-01|RC-04|RC-07,META_DESC|H1_DUPLICATE|READABILITY|VALUEPROP,200,True,139,1,10910,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,50
111,/blog/hospitality-automation-guide,confirmed-3p-mutation,RC-02|RC-04|RC-06,H1_DUPLICATE|DATES|TITLE_TAG,200,True,137,1,10189,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,46
112,/industry/salons-barbers,confirmed-runtime,RC-04,H1_DUPLICATE|HEADING_GENERIC,200,True,164,1,5422,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,60
113,/services/ai-receptionists,recommendation-only,RC-01|RC-07,THIN|TABLE,200,True,152,1,6632,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,44
114,/industry/gyms-fitness-studios,obsolete-advice,RC-01|RC-02|RC-05,SCHEMA|FAQ|THIN,200,True,160,1,5447,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,49
115,/blog/hospitality-automation-guide,confirmed-runtime,RC-01|RC-03|RC-04,META_DESC|H1_DUPLICATE|COOKIE_H1,200,True,137,1,10189,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,46
116,/industry/salons-barbers,obsolete-advice,RC-01|RC-05|RC-07,FAQ|THIN|READABILITY,200,True,164,1,5422,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,60
117,/blog/hospitality-automation-guide,obsolete-advice,RC-02|RC-05,SCHEMA|FAQ|DATES,200,True,137,1,10189,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,46
118,/industry/gyms-fitness-studios,confirmed-3p-mutation,RC-01|RC-02|RC-04|RC-05|RC-06|RC-07,META_DESC|H1_DUPLICATE|HEADING_GENERIC|SCHEMA|FAQ|THIN|INTERNAL_LINK|TITLE_TAG|IMAGE_ALT|VALUEPROP,200,True,160,1,5447,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,49
119,/pricing,refuted-live,RC-01,META_DESC|THIN,200,True,117,1,3030,True,"index, follow",BreadcrumbList|ListItem|WebPage,34
120,/services/ai-receptionists,confirmed-runtime,RC-01|RC-02|RC-04|RC-05,META_DESC|HEADING_GENERIC|SCHEMA|FAQ|THIN,200,True,152,1,6632,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,44
121,/blog/hospitality-automation-guide,confirmed-runtime,RC-04|RC-07,H1_DUPLICATE|HEADING_GENERIC|READABILITY,200,True,137,1,10189,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,46
122,/pricing,recommendation-only,RC-01|RC-02|RC-07,META_DESC|SCHEMA|VALUEPROP,200,True,117,1,3030,True,"index, follow",BreadcrumbList|ListItem|WebPage,34
123,/industry/gyms-fitness-studios,obsolete-advice,RC-01|RC-05,FAQ|THIN,200,True,160,1,5447,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,49
124,/pricing,confirmed-runtime,RC-01|RC-02|RC-04|RC-05,META_DESC|H1_DUPLICATE|HEADING_GENERIC|SCHEMA|FAQ|THIN,200,True,117,1,3030,True,"index, follow",BreadcrumbList|ListItem|WebPage,34
125,/services/ai-receptionists,obsolete-advice,RC-01|RC-02|RC-05|RC-07,META_DESC|SCHEMA|FAQ|THIN|READABILITY,200,True,152,1,6632,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,44
