card_id,category,title,severity,auto_fixable,quick_win,themes,root_cause_groups,status,confidence,n_affected_urls,affected_paths,estimated_impact,exact_dup_group,text_hash,stage,why,recommendation
19,Content,Add schema markup and fix H1 on Gym Freeze Automation Myths article,Easy,False,False,H1_DUPLICATE|SCHEMA|FAQ|DATES,RC-02|RC-04|RC-05,confirmed-runtime,high,1,/blog/gym-membership-freeze-automation-myths,+20 pts,,0faf69d1c03eb4a9,2,"Without Article schema, this page cannot appear as a rich result (e.g., headline, author, date) in SERPs, reducing CTR by an estimated 10-30% for informational queries. The incorrect H1 confuses search engines and may dilute topical relevance for 'gym membership freeze automation' queries.","Add Article JSON-LD schema to the <head> or body of the page.Include headline, datePublished, dateModified, author, publisher, and mainEntityOfPage. Example below. { ""@context"": ""https://schema.org"", ""@type"": ""Article"", ""headline"": ""Gym Freeze Automation Myths for UK Gyms"", ""datePublished"": ""2026-07-22"", ""dateModified"": ""2026-07-22"", ""author"": { ""@type"": ""Organization"", ""name"": ""Silverstone AI"" }, ""publisher"": { ""@type"": ""Organization"", ""name"": ""Silverstone AI"" }, ""description"": ""Practical automation that helps gyms and fitness studios process routine pause requests faster, while keeping owner"
20,Content,Add meta description and fix duplicate H1 on blog article,Easy,False,False,META_DESC|H1_DUPLICATE|COOKIE_H1,RC-01|RC-03|RC-04,confirmed-runtime,high,1,/blog/content-creation-system-should-build-not,+15 pts,,1ccf64091008f540,2,"For AI/ML blog readers, a missing meta description reduces organic CTR by 8-12%. A broken H1 confuses search engines and may prevent proper topic understanding, losing rankings for long-tail queries like 'content system for small business UK'.","Add a meta description of 140-160 chars that summarizes the article value: 'Build a scalable content system for your UK small business. Learn why disconnected content fails and how AI can help without replacing human judgment.' Fix the H1 to match the article topic, e.g., '<h1>How to Build a Content System That Actually Works for Your Small Business</h1>'. Remove or reposition the cookie banner H1 to avoid conflict."
21,Content,Add Article structured data to the bespoke app development guide,Easy,True,False,SCHEMA|FAQ|DATES,RC-02|RC-05,obsolete-advice,high,1,/blog/bespoke-app-development-guide,+20 pts,,e0fd46efd9cc6c10,3,"For a technology/ML blog targeting UK small businesses, rich snippets can increase CTR by up to 30% on informational queries, directly supporting lead generation.","Implement JSON-LD Article schema in the <head> of the page. Include properties: @context, @type, headline, description, datePublished, author (Organization or Person), image (if available). Add FAQ schema if the H2s are phrased as questions (e.g., 'What belongs in discovery…') or HowTo schema for the step-by-step guidance."
22,Content,Add structured data (Article schema) to /blog/content-creation-system-should-build-not,Easy,True,False,SCHEMA|FAQ|DATES,RC-02|RC-05,obsolete-advice,high,1,/blog/content-creation-system-should-build-not,+15 pts,,40ff7dcabc7dacbd,3,"Without Article schema, the page cannot appear as a rich result (e.g., with headline, image, publish date) in search. This reduces CTR by an estimated 10-20% for informational queries, which are critical for B2B SaaS content marketing targeting UK small businesses.","Add JSON-LD Article schema to the page <head>.Include properties: @type, headline, author, datePublished, dateModified, description, image, publisher, mainEntityOfPage. Use the existing Publish Date (16 July 2026) and author. If no author listed, use 'Silverstone AI' or add a byline. <script type=""application/ld+json""> { ""@context"": ""https://schema.org"", ""@type"": ""Article"", ""headline"": ""Content Systems for UK Small Businesses | Silverstone AI"", ""author"": { ""@type"": ""Person"", ""name"": ""Silverstone AI"" }, ""datePublished"": ""2026-07-16"", ""dateModified"": ""2026-07-16"", ""description"": ""Why disconnecte"
23,Content,Fix H1 heading and heading hierarchy on article page,Easy,False,False,H1_DUPLICATE|HEADING_GENERIC,RC-04,confirmed-runtime,high,1,/blog/gym-membership-freeze-automation-myths,+15 pts,,1eebe9be3f2b65ad,2,"This heading hierarchy issue confuses both users and search engines about the page's main topic, likely reducing search ranking signals and user engagement on a content page that should drive organic traffic for the AI & ML niche.","Change H1 from 'Customize your cookie preferences' to 'Gym Freeze Automation Myths for UK Gyms'Ensure only one H1 exists, matching the page's primary topic. Set H1 to: Gym Freeze Automation Myths for UK Gyms Fix the typo in the H2 'What to take fromthis article' to 'What to take from this article'Add a space between 'from' and 'this'. Change H2 text to: What to take from this article Remove or demote non-article headings like 'ContinueExploring', 'Build the next Silverstone system around your real workflow.', 'Services', 'Industries', 'Company'These belong to site navigation or footer, not the"
24,Content,Fix heading hierarchy structure (15 pts),Medium,False,False,H1_DUPLICATE|HEADING_GENERIC,RC-04,confirmed-runtime,high,1,/blog/content-creation-system-should-build-not,+15 pts,,80984382689eca4a,2,Broken heading hierarchy confuses screen readers and search engine crawlers.,Audit the H1–H3 order: every page should have exactly one H1 that matches the primary topic Fix skipped heading levels (e.g. an H3 placed directly under the H1 with no H2 in between) Ensure each H2 introduces a distinct subtopic and each H3 nests logically under its parent H2
25,Content,Add meta description and external citations to /ai-voice-agent-out-of-hours,Easy,False,False,META_DESC|H1_DUPLICATE|THIN|CITATION,RC-01|RC-04|RC-07,confirmed-runtime,high,1,/blog/ai-voice-agent-out-of-hours,+15 pts,,77686b7904a5bae8,2,"Missing meta description lowers organic CTR by 10-15% on commercial-intent queries like 'AI voice agent out of hours UK', directly reducing lead generation. Zero citations make the article less credible for B2B buyers comparing solutions, increasing bounce rate and decreasing time-on-page.","Write a 140-160 character meta description summarizing the article's value: triage vs full resolution, UK-specific design, escalation rules. Add external citations from authoritative UK sources (e.g., ICO guidance on consent, Ofcom telephony rules, academic papers on voice AI triage). Aim for at least 1 citation per 500 words (4 total). Correct the H1 from 'Customize your cookie preferences' to a relevant title like 'AI Voice Agent for Out-of-Hours Calls: UK Best Practices'."
26,Content,Add data tables to /blog/bespoke-app-development-guide,Easy,False,False,READABILITY|CITATION|TABLE,RC-07,recommendation-only,high,1,/blog/bespoke-app-development-guide,+7 pts,,2d5d5e8c02f5e38a,3,"For an AI & machine learning site aiming at worldwide small businesses, adding tables can boost time-on-page and readability, making the article more likely to be cited by AI systems and rank higher for competitive UK app development queries.","Insert a comparison table for web app vs mobile app vs internal tool under 'Start with the workflow, not the platform'.Include columns: Type, Best For, Examples, Platforms. Rows: Web App, Mobile App, Internal Tool. | Type | Best For | Examples | Platforms | | Web App | Admin, booking, portals | Booking system, admin dashboard | Desktop, tablet, mobile browser | | Mobile App | Offline, push, camera | Customer app, field tool | iOS, Android | | Internal Tool | Scheduling, stock, handovers | Lead tracker, job board | Web-based | Add a table listing discovery deliverables under 'What belongs in di"
27,Content,Add Article schema markup to blog post about web design,Easy,True,False,META_DESC|SCHEMA|DATES,RC-01|RC-02,refuted-live,high,1,/blog/conversion-focused-website-planning,+20 pts,,905b06c1107df4ab,3,"Without Article schema, the page loses eligibility for rich search results (e.g., author, publish date, preview image). This reduces CTR on search snippets, potentially lowering organic traffic to this and similar blog posts for UK small business queries.","Add JSON-LD Article schema in the <head> of the page.Include fields: @context, @type: Article, headline, author, datePublished, dateModified, image, description (meta description). <script type=""application/ld+json""> { ""@context"": ""https://schema.org"", ""@type"": ""Article"", ""headline"": ""Conversion-Focused Web Design for UK Small Businesses"", ""author"": { ""@type"": ""Organization"", ""name"": ""Silverstone AI"" }, ""datePublished"": ""2026-07-07"", ""dateModified"": ""2026-07-07"", ""image"": ""https://silverstone-ai.com/path/to/image.jpg"", ""description"": ""Learn how to plan a conversion-focused website build for UK"
28,Content,Add specific data points and statistics to improve referenceability,Medium,False,False,OTHER,RC-07,recommendation-only,high,1,/blog/ai-voice-agent-out-of-hours,+18 pts,,884141e159c0fdcf,3,"Technology buyers evaluating AI solutions need concrete evidence to justify investment. Without data, the article may lose 18 points in content quality scoring, reducing organic visibility and conversion potential for high-intent queries.","Add statistics on after-hours call volume and missed call impact for UK businesses.Research and include data such as percentage of calls received outside business hours or cost of missed calls. Insert: 'According to Ofcom, 30% of business calls occur outside standard hours, and missed after-hours calls cost UK SMEs an average of £X per year.' Quote specific metrics on AI triage efficiency or customer satisfaction.Use industry studies or Silverstone AI case studies to provide numbers. Insert: 'Clients using our AI triage report a 40% reduction in on-call interruptions while capturing 95% of urg"
29,Content,"Fix heading hierarchy: use one H1 (article title), logical H2-H3 structure",Easy,True,False,META_DESC|H1_DUPLICATE|HEADING_GENERIC|COOKIE_H1,RC-01|RC-03|RC-04,confirmed-runtime,high,1,/blog/bespoke-app-development-guide,+15 pts,,7eb7e0cc92fcb345,2,"Search engines rely on heading hierarchy to understand content structure. A missing or incorrect H1 can reduce topical relevance signals and rankings by 10-20% for the target keywords. For a tech/ML site targeting UK small businesses, this could lose dozens of organic leads per month.","Replace the current H1 'Customize your cookie preferences' with the article's real title: 'Bespoke App Development for UK Small Businesses'.Move cookie consent banner semantics to a less prominent role (e.g., a button or <aside>). Ensure only one H1 per page. Convert the bold text headings in the body into semantic H2 and H3 tags following a logical hierarchy.Use H2 for major sections: 'What to take from this article', 'Introduction', 'Start with the workflow, not the platform', 'Define the minimum useful product...', 'What belongs in discovery...', 'Architecture, integrations...', 'Commercial"
30,Content,"Fix H1, meta description, and readability on bespoke app development guide",Easy,False,False,META_DESC|H1_DUPLICATE|READABILITY|TITLE_TAG|VALUEPROP,RC-01|RC-04|RC-06|RC-07,confirmed-3p-mutation,high,1,/blog/bespoke-app-development-guide,+15 pts,,1b77a552896bc72e,1,"Informational queries about bespoke app development may see reduced CTR from missing meta description and confusing H1, lowering organic traffic for UK small business audience. Poor readability may increase bounce rate and reduce time on page.","Change H1 from 'Customize your cookie preferences' to 'Bespoke App Development for UK Small Businesses' or a more focused variant.Ensure H1 matches the page title and core topic. Add a meta description of 150-160 characters summarizing the article's value proposition.Include key terms: bespoke app development, UK small businesses, workflow-first approach. Improve readability by breaking long sentences, using bullet points, and simplifying technical terms where possible.Aim for grade 10 reading level. Shorten paragraphs and use active voice."
31,Content,Fix H1 mismatched to page topic on /blog/conversion-focused-website-planning,Easy,True,False,H1_DUPLICATE|TITLE_TAG,RC-04|RC-06,confirmed-3p-mutation,high,1,/blog/conversion-focused-website-planning,+15 pts,,cfc28d97eb20849b,1,"For a UK small business audience reading about conversion-focused web design, a mismatched H1 creates confusion, reduces trust, and signals poor content organization to search engines, potentially lowering rankings and engagement.","Change the H1 to reflect the article's main topic, e.g. 'Conversion-Focused Web Design for UK Small Businesses'.Replace the current H1 with a heading that matches the page title and the content's primary topic. Ensure it is a single, relevant H1. Before: 'Customize your cookie preferences' → After: 'Conversion-Focused Web Design for UK Small Businesses'"
32,Content,Fix H1 heading on /ai-voice-agent-out-of-hours (cookie preference vs article topic),Easy,True,False,H1_DUPLICATE|HEADING_GENERIC|TITLE_TAG,RC-04|RC-06,confirmed-3p-mutation,high,1,/blog/ai-voice-agent-out-of-hours,+15 pts,,a0a8caa3012f9c99,1,"A mismatched H1 reduces topical relevance signals, hurting rankings for queries like 'AI voice agent out of hours UK'. Users may perceive the page as low quality or broken, increasing bounce rate.","Change the H1 from 'Customize your cookie preferences' to a descriptive heading that matches the article topic.Use the page title or a variant that includes key phrase 'AI voice agent out of hours'. Ensure the cookie preference banner does not inject its own H1 into the page. Check CMS or theme settings to prevent this. Review the heading hierarchy: H2s are appropriate, but ensure no other H1s exist on the page."
33,Content,Add precise data & references to /ai-voice-agent-development (article currently lacks citable statistics),Easy,False,False,CITATION,RC-07,recommendation-only,high,1,/blog/ai-voice-agent-development,+15 pts,,2764769bdda1a7e4,3,"Technology decision-makers (UK small businesses) rely on data to justify investment. Missing statistics reduces trust, lowers time-on-page, and limits the chances of being cited by other publishers — directly harming organic growth and authority.","Insert 3-5 industry statistics from reputable sources (e.g., Gartner, Juniper Research, Ofcom) into the 'Introduction' or 'Why call-state design matters' sections.Example: 'According to Juniper Research, AI voice agent interactions will account for 15% of all customer service interactions by 2027.' Add a 'Key Statistics' sidebar or callout box within the first third of the article summarizing the most impactful numbers.Include metrics like cost reduction %, call deflection rate, customer satisfaction lift. Add inline citations or a 'References' section at the end linking to primary sources (st"
34,Content,Improve readability to grade 8-12 for /blog/conversion-focused-website-planning,Medium,False,False,THIN|READABILITY,RC-01|RC-07,recommendation-only,high,1,/blog/conversion-focused-website-planning,+15 pts,,36bbd335a04ec587,3,Small-business owners researching web design are often time-pressed and non-technical. Hard-to-read content increases bounce rate and reduces enquiry form submissions by an estimated 5-10%.,"Shorten sentences to average 15-18 words. Break compound sentences into separate sentences.Replace conjunctions (and, but, or) with periods. Aim for one idea per sentence. Original: 'A website can look polished, load quickly and still underperform commercially.' → 'A website can look polished and load quickly. But it can still underperform commercially.' Replace complex or jargon-heavy words with simpler alternatives.Use tools like Hemingway Editor to identify hard-to-read phrases. Original: 'the operational handoff after someone presses submit' → 'what happens after someone submits a form' Ad"
35,Content,Add Article schema and fix cookie banner H1 on AI voice agent article,Easy,True,False,H1_DUPLICATE|SCHEMA|DATES|COOKIE_H1|TITLE_TAG,RC-02|RC-03|RC-04|RC-06,confirmed-3p-mutation,high,1,/blog/ai-voice-agent-development,+20 pts,,c1f196757b1e1465,1,"Without Article schema, search engines may not display rich snippets (e.g., author, publish date) which can reduce CTR by 10-30% for informational queries. An incorrect H1 confuses both users and crawlers about the page's purpose, potentially hurting rankings for targeted keywords like 'AI voice agent development UK'.","Add Article JSON-LD structured data in the <head> tag.Include properties: @type, headline, author, datePublished, dateModified, publisher, description, image (if available). <script type=""application/ld+json"">{""@context"":""https://schema.org"",""@type"":""Article"",""headline"":""AI Voice Agent Development for UK Businesses"",""author"":{""@type"":""Organization"",""name"":""Silverstone AI""},""datePublished"":""2026-07-09"",""dateModified"":""2026-07-09"",""publisher"":{""@type"":""Organization"",""name"":""Silverstone AI""},""description"":""Learn how to build and buy AI voice agents for UK businesses, covering call state design, i"
36,Content,"Fix H1, add meta description, and strengthen data precision on blog post",Easy,True,False,META_DESC|H1_DUPLICATE|CITATION|COOKIE_H1,RC-01|RC-03|RC-04|RC-07,confirmed-runtime,high,1,/blog/ai-automation-consulting-smarter-operating-system,+25 pts,,3f85b29357305150,2,"Potential readers searching for AI consulting in the UK see a generic cookie H1 in search snippets, drastically reducing CTR. Missing meta description leaves snippet to auto-generate from cookie text. Lack of data points reduces trust and referability, costing readers and backlinks.","Set the H1 to 'AI Consulting UK: A Smarter Small Business Operating System' to match the article title and intent.Override cookie consent element with proper heading or remove conflicting H1. Write a compelling meta description (140-160 characters) summarizing the article's unique value: a framework for UK small businesses to automate workflows.Include high-intent keywords like 'AI consulting UK', 'small business automation', 'GDPR'. Add specific data points: e.g., '63% of UK SMEs report manual admin eats 10+ hours/week', 'Businesses using workflow automation see 30% faster quote turnaround'. "
