SKU,Is_Bundle,Niche,Product_Name_Internal,Sales_Name_External,Bundle_Components,Deliverables_List,Setup_Fee_GBP,Monthly_Retainer_GBP,Est_Margin_%,Cold_Call_Hook
SAL-REVIEW-01,False,Salons,Review & Referral Booster,Review & Referral Engine,,Post-visit review & referral prompts across Google and social media.,230,45,72,“Turn happy clients into online reviews and referrals without awkward asks at the till.”
SAL-RECEPT-01,False,Salons,Salon AI Receptionist,24/7 Salon Receptionist,,"AI call/chat assistant for bookings, FAQs and simple rescheduling, integrated with booking tools.",520,129,68,“Your phones are answered even while every chair is busy.”
TRD-MISSCALL-01,False,Trades,Trades Missed Call Catcher,Emergency Call Saver,,"Call flow and AI agent to capture missed calls, triage urgency and text you key details.",350,79,78,“We stop emergency jobs slipping through when you’re under a sink or on a ladder.”
TRD-QUOTE-01,False,Trades,Quote Chaser Automation,Quote Chaser Text Flow,,Automated follow-up texts and emails on open quotes; simple accept/decline buttons.,275,55,76,“We chase every quote politely so you don’t leave money sitting in inboxes.”
TRD-JOBSCHED-01,False,Trades,Simple Jobs Board & Scheduler,Jobs Board & Scheduling,,"Lightweight job board synced to calendar, with automatic confirmations and reminders.",425,89,70,"“All your jobs, times and addresses in one place – no more paper diaries.”"
TRD-REVIEW-01,False,Trades,Trades Review Booster,Local Review Booster,,Post-job SMS review invitations and testimonial collection.,220,39,78,“Each finished job becomes another five-star review instead of a forgotten visit.”
ECOM-CART-01,False,eCommerce,Abandoned Cart Recovery,Abandoned Cart Recovery Flow,,Multi-touch email/SMS flows for abandoned carts with dynamic discount logic.,480,99,72,"“We bring back shoppers who nearly bought, using friendly nudges not spam.”"
ECOM-SUPPORT-01,False,eCommerce,Customer Support FAQ Bot,24/7 Order & FAQ Assistant,,"AI assistant answering product, delivery and return questions; hands off complex cases.",520,119,70,"“Customers get instant answers, your inbox stops overflowing.”"
ECOM-REVIEW-01,False,eCommerce,Post-Purchase Review & UGC Flow,Review & UGC Collector,,"Automated requests for reviews, photos and UGC after orders.",340,69,74,“Turn happy customers into the reviews and photos your ads are missing.”
ECOM-LTV-01,False,eCommerce,Repeat Purchase & LTV Dashboard,Customer Lifetime Value Dashboard,,"Dashboard tracking repeat purchase, cohort retention and high-value segments.",560,79,65,“Know exactly which customers and products are really paying the bills.”
PHY-INTAKE-01,False,Physios/Chiropractors,Digital Intake & Consent Flow,Digital Intake & Consent Pack,,"Online intake forms, consent capture and secure data storage integrated with practice tools.",495,85,68,"“Patients arrive with forms already done, not 10 minutes late with a clipboard.”"
PHY-REBOOK-01,False,Physios/Chiropractors,Treatment Plan Reminder Flow,Treatment Plan Reminder Engine,,Sequenced reminders and check-ins aligned with treatment plans.,360,75,70,“We gently nudge patients to complete their plan instead of dropping off halfway.”
PHY-REVIEW-01,False,Physios/Chiropractors,Clinic Review & Testimonial Flow,Patient Review & Testimonial Booster,,Post-session feedback and review prompts with testimonial capture.,295,55,72,“Build a wall of positive reviews that does the selling for you.”
DEN-RECALL-01,False,Dentists,Recall & Hygiene Automation,Recall & Hygiene Fill-Up,,Automated recall reminders for check-ups and hygiene appointments.,420,89,70,“Recall lists stop gathering dust – your chairs stay full.”
DEN-PLAN-01,False,Dentists,Treatment Plan Follow-Up,Treatment Plan Follow-Up Flow,,Follow-up reminders and education for accepted but unscheduled treatments.,380,79,68,“We make sure high-value treatment plans don’t quietly fade away.”
DEN-REVIEW-01,False,Dentists,Dental Review Booster,Practice Review Booster,,Review and survey flows tailored for dental practices.,310,65,74,"“More Google reviews in months, not years – with no extra admin.”"
GYM-REACT-01,False,Gym Owners,Dormant Member Reactivation Flow,Dormant Member Reactivation Engine,,Win-back campaigns for frozen or cancelled members.,390,89,72,“We quietly win back ex-members before they drift to a rival gym.”
GYM-ATTEND-01,False,Gym Owners,Class Attendance Nudge Flow,Class Attendance Nudge Pack,,Automated prompts before and after classes to build habits.,320,69,70,"“We help members actually show up, not just pay and feel guilty.”"
GYM-TRIAL-01,False,Gym Owners,Trial to Membership Conversion Flow,Trial-to-Member Conversion Kit,,Automated nurturing for free trials and day passes to convert them into members.,350,75,70,“Don’t let free-trial visitors vanish – we convert them into paying members.”
INF-DM-01,False,Fitness Influencers/Online Coaches,DM Triage & Lead Capture Bot,DM to Lead Triage Assistant,,"DM assistant that categorises inbound DMs, captures email/contact and sends basic responses.",310,79,70,“Your DMs stop being a mess – serious leads are pulled out and booked.”
INF-ONBOARD-01,False,Fitness Influencers/Online Coaches,Client Onboarding Automation,Coaching Client Onboarding Flow,,"Contracts, questionnaires and payment links triggered automatically on sign-up.",330,69,72,“New clients get a smooth onboarding without you living in your inbox.”
INF-CONTENT-01,False,Fitness Influencers/Online Coaches,Content Repurposing Automation,Content Repurposing Engine,,"Automation to repurpose long-form content into posts, emails and snippets.",360,79,68,“Turn one long video into a week’s worth of posts without lifting a finger.”
PKG-REA-01,True,Real Estate,Estate Lead Capture Starter,Estate Agent Starter Pack,"REA-MISSCALL-01,REA-QUALBOT-01",Missed call saver plus 24/7 lead qualification bot for portal and website enquiries.,999,189,72,“In four weeks you’ll go from missed calls to 24/7 lead capture for less than one lost instruction.”
PKG-REA-02,True,Real Estate,Viewing Conversion Kit,Never Miss a Viewing Pack,"REA-MISSCALL-01,REA-QUALBOT-01,REA-FOLLOW-01","End-to-end lead capture, qualification and viewing follow-up automation.",1499,229,70,“We make sure every viewing request is answered and chased without adding to your negotiators’ workload.”
PKG-REA-03,True,Real Estate,Landlord Growth Suite,Landlord Growth Suite,"REA-LANDLORD-01,REA-FOLLOW-01",Landlord onboarding automation plus follow-up journeys for valuations and instructions.,1399,199,70,“Turn one-off valuations into managed instructions automatically.”
PKG-REA-04,True,Real Estate,End-to-End Estate Automation,Estate Office Automation Pack,"REA-MISSCALL-01,REA-QUALBOT-01,REA-FOLLOW-01,REA-LANDLORD-01","Comprehensive automation across enquiries, viewings and landlord onboarding.",2399,299,68,“A virtual assistant for your whole branch for less than a junior’s wages.”
PKG-REA-05,True,Real Estate,Premium Domination Bundle,Estate Agent Domination Pack,"REA-MISSCALL-01,REA-QUALBOT-01,REA-FOLLOW-01,REA-LANDLORD-01",Everything in the Estate Office pack plus quarterly optimisation and reporting.,2799,399,65,"“Own your patch: more listings, faster responses and cleaner processes in one bundle.”"
PKG-HOS-01,True,Hospitality,Hospitality Starter,Restaurant & Café Starter Pack,"HOS-GUESTBOT-01,HOS-REVIEW-01",Guest FAQ bot plus automated review and feedback collection.,899,169,72,“Answer guests instantly and grow five-star reviews without extra staff.”
PKG-HOS-02,True,Hospitality,No-Show & Reviews,No-Show & Review Saver Pack,"HOS-GUESTBOT-01,HOS-REVIEW-01,HOS-NOSHOW-01",Automation to reduce no-shows and boost online reputation.,1299,219,70,"“Fill more tables and climb the review rankings, even on slow nights.”"
PKG-HOS-03,True,Hospitality,Events & Loyal Guests,Events & Loyal Guests Pack,"HOS-GUESTBOT-01,HOS-MENU-01",Guest concierge plus menu/event broadcasting flows.,1049,189,70,“Turn casual diners into regulars who never miss your next event.”
PKG-HOS-04,True,Hospitality,Hotel Guest Journey,Hotel Guest Journey Pack,"HOS-GUESTBOT-01,HOS-REVIEW-01,HOS-NOSHOW-01","Automation across enquiries, bookings, cancellations and post-stay reviews.",1699,259,68,"“From first enquiry to review, guests feel looked after while your team focuses on service.”"
PKG-HOS-05,True,Hospitality,Premium Hospitality Growth,Hospitality Growth Engine,"HOS-GUESTBOT-01,HOS-REVIEW-01,HOS-NOSHOW-01,HOS-MENU-01","Full guest concierge, no-show filler, review engine and campaign broadcasts.",1999,299,65,"“Your front-of-house, review system and marketing all quietly run themselves.”"
PKG-SAL-01,True,Salons,No-Show Starter,Salon No-Show Saver Pack,"SAL-REMIND-01,SAL-REBOOK-01",Appointment reminder and rebooking flows focused on filling chairs.,749,129,74,“Cut no-shows and keep regulars coming back without more phone time.”
PKG-SAL-02,True,Salons,Rebooking & Reviews,Rebook & Review Pack,"SAL-REMIND-01,SAL-REBOOK-01,SAL-REVIEW-01","No-show prevention, rebooking nudges and review automation.",949,159,72,“Every finished cut becomes a future booking and a public review.”
PKG-SAL-03,True,Salons,Receptionist Lite,24/7 Salon Receptionist Pack,"SAL-REMIND-01,SAL-RECEPT-01",AI receptionist plus reminder flows for busy salons.,1099,189,70,“The phone gets answered while you focus on clients in the chair.”
PKG-SAL-04,True,Salons,Premium Chair Filler,Premium Chair-Filler Suite,"SAL-REMIND-01,SAL-REBOOK-01,SAL-REVIEW-01,SAL-RECEPT-01","Full automation of reminders, rebooking, reviews and phone handling.",1399,229,68,“A full-time receptionist and marketing assistant rolled into one affordable package.”
PKG-SAL-05,True,Salons,Multi-Site Salon Growth,Multi-Site Salon Growth Engine,"SAL-REMIND-01,SAL-REBOOK-01,SAL-REVIEW-01,SAL-RECEPT-01",Optimised configuration for two or more locations with central reporting.,1799,299,65,“Keep every column full across all your locations without spreadsheets.”
PKG-TRD-01,True,Trades,Emergency Call Starter,Emergency Call Catcher Pack,"TRD-MISSCALL-01,TRD-REVIEW-01",Missed call catcher plus review booster for local SEO.,699,129,74,“Never lose an emergency call again – and get a review from every job you do attend.”
PKG-TRD-02,True,Trades,Quote to Job Converter,Quote-to-Job Conversion Pack,"TRD-QUOTE-01,TRD-REVIEW-01",Quote-chasing automation plus post-job review flow.,799,129,72,“We chase your quotes and then turn happy customers into the reviews that win more work.”
PKG-TRD-03,True,Trades,Job Board & Calls,Trades Job Board & Call Pack,"TRD-MISSCALL-01,TRD-JOBSCHED-01",Missed call capture plus simple job scheduler and confirmations.,999,169,70,"“All your calls become tidy, scheduled jobs instead of scribbles in a notebook.”"
PKG-TRD-04,True,Trades,Virtual Office,Trades Virtual Office,"TRD-MISSCALL-01,TRD-QUOTE-01,TRD-JOBSCHED-01","End-to-end virtual office handling calls, quotes and scheduling.",1299,219,68,“Like hiring an office manager for less than a tank of fuel a week.”
PKG-TRD-05,True,Trades,Premium Trades Growth,Premium Trades Growth Engine,"TRD-MISSCALL-01,TRD-QUOTE-01,TRD-JOBSCHED-01,TRD-REVIEW-01",Comprehensive trades growth system from first call to final review.,1499,259,65,“Pick the jobs you want while automation handles the rest of the pipeline.”
PKG-ECOM-01,True,eCommerce,Cart Recovery Starter,Cart Recovery Starter Pack,"ECOM-CART-01,ECOM-REVIEW-01",Abandoned cart recovery plus post-purchase review flows.,999,179,72,“Recover lost baskets and build the reviews that make new customers trust you.”
PKG-ECOM-02,True,eCommerce,Support & Cart,Support & Cart Pack,"ECOM-CART-01,ECOM-SUPPORT-01",Abandoned cart plus FAQ/support assistant.,1299,219,70,“Support and sales both get faster without hiring extra staff.”
PKG-ECOM-03,True,eCommerce,Growth Engine,E-com Growth Engine,"ECOM-CART-01,ECOM-SUPPORT-01,ECOM-REVIEW-01","Full growth engine focused on conversion, support and reviews.",1599,259,68,“A mini growth team in a box – built around your store.”
PKG-ECOM-04,True,eCommerce,Analytics & Growth,LTV & Growth Pack,"ECOM-CART-01,ECOM-LTV-01",Cart recovery plus LTV dashboard for data-driven decisions.,1399,229,68,“We show you which customers and offers actually move the profit needle.”
PKG-ECOM-05,True,eCommerce,Premium Brand Engine,Premium Brand Automation Engine,"ECOM-CART-01,ECOM-SUPPORT-01,ECOM-REVIEW-01,ECOM-LTV-01","Full automation for cart, support, reviews and analytics.",1899,299,65,“For growing brands that want serious automation without hiring an ops team.”
PKG-PHY-01,True,Physios/Chiropractors,Intake Starter,Smart Intake Starter Pack,"PHY-INTAKE-01,PHY-REBOOK-01",Digital intake and treatment plan reminders.,899,159,70,“Patients arrive prepared and keep turning up for the whole plan.”
PKG-PHY-02,True,Physios/Chiropractors,Retention & Reviews,Retention & Reviews Pack,"PHY-REBOOK-01,PHY-REVIEW-01",Rebooking reminders plus review automation.,799,139,72,“We help you keep patients engaged and talking positively about your practice.”
PKG-PHY-03,True,Physios/Chiropractors,Clinic Flow Engine,Clinic Flow Engine,"PHY-INTAKE-01,PHY-REBOOK-01,PHY-REVIEW-01",End-to-end patient journey automation from intake to review.,1299,199,68,"“From first form to final session, admin stops getting in the way of care.”"
PKG-PHY-04,True,Physios/Chiropractors,Premium Clinic Suite,Premium Clinic Automation Suite,"PHY-INTAKE-01,PHY-REBOOK-01,PHY-REVIEW-01",As Clinic Flow Engine with quarterly optimisation and reporting.,1599,249,65,“Optimised workflows that grow as your caseload grows.”
PKG-PHY-05,True,Physios/Chiropractors,Multi-Location Physio,Multi-Location Physio Pack,"PHY-INTAKE-01,PHY-REBOOK-01,PHY-REVIEW-01",Configured for multiple locations with shared reporting.,1899,299,65,"“Consistent patient journeys across all your clinics, managed centrally.”"
PKG-DEN-01,True,Dentists,Recall Starter,Recall Starter Pack,"DEN-RECALL-01,DEN-REVIEW-01",Recall reminders plus dental review booster.,999,179,70,“Keep your chairs full and your online profile spotless.”
PKG-DEN-02,True,Dentists,Plan Completion,Treatment Plan Completion Pack,"DEN-RECALL-01,DEN-PLAN-01",Recall reminders plus treatment plan follow-up flows.,1199,199,68,“Make sure profitable treatment plans turn into booked appointments.”
PKG-DEN-03,True,Dentists,Growth Engine,Dental Growth Engine,"DEN-RECALL-01,DEN-PLAN-01,DEN-REVIEW-01",Full dental growth automation system.,1499,239,65,“Automation that keeps your diaries full without extra reception staff.”
PKG-DEN-04,True,Dentists,Multi-Surgery Pack,Multi-Surgery Dental Pack,"DEN-RECALL-01,DEN-PLAN-01,DEN-REVIEW-01",Configuration for multi-surgery clinics with reporting.,1799,299,65,“Scale consistent patient journeys across multiple surgeries.”
PKG-DEN-05,True,Dentists,Premium Dental Suite,Premium Dental Automation Suite,"DEN-RECALL-01,DEN-PLAN-01,DEN-REVIEW-01",Expanded reporting and quarterly optimisation.,2099,339,63,“Premium automation for practices that want to grow without burning out staff.”
PKG-GYM-01,True,Gym Owners,Reactivation Starter,Dormant Member Starter Pack,"GYM-REACT-01,GYM-ATTEND-01",Dormant member win-back and attendance nudges.,899,169,70,“Win back old members and keep current ones using what they already pay for.”
PKG-GYM-02,True,Gym Owners,Trial Conversion,Trial Conversion Pack,"GYM-TRIAL-01,GYM-ATTEND-01",Trial-to-member nurturing and habit-building nudges.,899,169,70,“Stop losing people after a free trial – we convert them to committed members.”
PKG-GYM-03,True,Gym Owners,Growth Engine,Gym Growth Engine,"GYM-REACT-01,GYM-TRIAL-01,GYM-ATTEND-01","Comprehensive reactivation, trial conversion and attendance automation.",1299,219,68,“A small engine that keeps your membership numbers climbing.”
PKG-GYM-04,True,Gym Owners,Premium Gym Suite,Premium Gym Automation Suite,"GYM-REACT-01,GYM-TRIAL-01,GYM-ATTEND-01",Growth Engine plus quarterly optimisation and reporting.,1599,279,65,“Let automation do the chasing so you can focus on coaching and community.”
PKG-GYM-05,True,Gym Owners,Multi-Site Gym Pack,Multi-Site Gym Pack,"GYM-REACT-01,GYM-TRIAL-01,GYM-ATTEND-01",Configured for multiple sites with central dashboards.,1899,329,63,“Get a single view of membership health across every location.”
PKG-INF-01,True,Fitness Influencers/Online Coaches,DM Starter,DM to Lead Starter Pack,"INF-DM-01,INF-ONBOARD-01",DM triage plus automated client onboarding flows.,749,149,70,“Turn DMs into paying clients without living in your inbox.”
PKG-INF-02,True,Fitness Influencers/Online Coaches,Content Engine,Content & Lead Engine,"INF-DM-01,INF-CONTENT-01",DM triage plus content repurposing automation.,849,159,68,“We fill your calendar and your feed while you focus on clients.”
PKG-INF-03,True,Fitness Influencers/Online Coaches,Premium Coaching Suite,Premium Coaching Automation Suite,"INF-DM-01,INF-ONBOARD-01,INF-CONTENT-01","Full DM, onboarding and content automation for coaches.",1099,199,65,"“A silent back-office that handles leads, sign-ups and content while you coach.”"
PKG-INF-04,True,Fitness Influencers/Online Coaches,Launch Pack,Launch & Waitlist Pack,"INF-DM-01,INF-ONBOARD-01,INF-CONTENT-01",Configuration optimised for cohort launches and waitlists.,1199,209,65,“Launch programmes without burning out on manual DMs and spreadsheets.”
PKG-INF-05,True,Fitness Influencers/Online Coaches,Agency-Level Suite,Creator Agency-Level Suite,"INF-DM-01,INF-ONBOARD-01,INF-CONTENT-01","Expanded automation for creators running multiple offers, with reporting.",1399,259,63,"“Run your coaching like a proper agency, without hiring a team.”"
